Time, Cooling Engery (kWh) Zone1, Cooling Engery (kBtu) Zone2, Cooling Engery (kBtu) Zone3, Cooling Engery (kBtu) Zone4, Cooling Engery (kBtu) Zone5, Heating Engery (kBtu) Zone1, Heating Engery (kBtu) Zone2, Heating Engery (kBtu) Zone3, Heating Engery (kBtu) Zone4, Heating Engery (kBtu) Zone5, Electric Light Engery (kBtu) Zone1, Electric Light (kBtu) Zone2, Electric Light Energy (kBtu) Zone3, Electric Light Energy (kBtu) Zone4, Electric Light Energy (kBtu) Zone5, Equipment Engery (kBtu) Zone1, Equipment Engery (kBtu) Zone2, Equipment Engery (kBtu) Zone3, Equipment Engery (kBtu) Zone4, Equipment Engery (kBtu) Zone5,
02 Jan 14:00,0,0,0,0,0,13.876097,7.071029,11.904048,7.650651,1.944718,0.297856,0.124107,0.297856,0.124107,0.148928,4.954134,2.064223,4.954134,2.064223,2.477067
02 Jan 15:00,0,0,0,0,0,13.541025,6.952452,8.61048,6.945569,1.8552,0.521248,0.217187,0.521248,0.217187,0.260624,5.182787,2.159495,5.182787,2.159495,2.591393
02 Jan 16:00,0,0,0,0,0,13.271175,6.853819,9.54583,6.83027,1.438386,1.042497,0.434374,1.042497,0.434374,0.521248,6.097396,2.540582,6.097396,2.540582,3.048698
02 Jan 17:00,0,0,0,0,0,12.092416,6.379685,9.471834,6.48086,0.630018,1.489281,0.620534,1.489281,0.620534,0.74464,7.621745,3.175727,7.621745,3.175727,3.810873
02 Jan 18:00,0,0,0,0,0,11.2588,6.042665,8.9962,6.152196,0.069013,2.010529,0.83772,2.010529,0.83772,1.005264,7.621745,3.175727,7.621745,3.175727,3.810873
02 Jan 19:00,0,0,0,0,0,12.004443,6.39337,9.981399,6.49267,0.172942,2.382849,0.992854,2.382849,0.992854,1.191425,7.088223,2.953426,7.088223,2.953426,3.544112
02 Jan 20:00,0,0,0,0,0,11.987572,6.383808,10.165089,6.473841,0.121389,2.382849,0.992854,2.382849,0.992854,1.191425,6.783353,2.826397,6.783353,2.826397,3.391677
02 Jan 21:00,0,0,0,0,0,11.752783,6.26968,10.103889,6.3526,0.036718,1.638209,0.682587,1.638209,0.682587,0.819104,6.478484,2.699368,6.478484,2.699368,3.239242
02 Jan 22:00,0,0,0,0,0,13.342915,6.972167,11.859812,7.040974,0.639221,0.893568,0.37232,0.893568,0.37232,0.446784,5.411439,2.254766,5.411439,2.254766,2.70572
02 Jan 23:00,0,0,0,0,0,14.116908,7.289478,12.794645,7.347564,1.049301,0.37232,0.155133,0.37232,0.155133,0.18616,4.420612,1.841922,4.420612,1.841922,2.210306
